sid,lat1,lon1
001004,40.75137,-73.97613
001011,40.75152,-73.97599
002001,40.75587,-73.97283
002012,40.75587,-73.97283
003002,40.76093,-73.96913
003006,40.76086,-73.96919
003013,40.761,-73.96908
004001,40.75083,-73.97441
004005,40.75077,-73.97445
004042,40.75069,-73.9745
005002,40.75521,-73.97124
005006,40.75521,-73.97124
006003,40.76033,-73.96749
006055,40.76016,-73.96757
008011,40.74776,-73.98296
008020,40.74769,-73.98301
008118,40.74782,-73.98291
011001,40.75273,-73.97933
011012,40.7528,-73.97929
011014,40.75287,-73.97924
012013,40.75723,-73.97604
012015,40.75723,-73.97604
013003,40.76221,-73.97241
013016,40.76289,-73.97402
014011,40.7534,-73.98095
014017,40.75355,-73.98085
014118,40.7535,-73.98089
015014,40.75791,-73.97765
015018,40.75791,-73.97765
016013,40.76236,-73.97231
016015,40.76296,-73.97397
016019,40.76304,-73.97392
017014,40.75477,-73.98418
017018,40.75485,-73.98413
017059,40.75491,-73.98407
018019,40.75926,-73.98089
018037,40.75927,-73.98089
019016,40.76425,-73.97726
019056,40.76441,-73.97715
020004,40.74571,-73.97812
020008,40.74579,-73.97806
020103,40.74564,-73.97817
023017,40.74978,-73.98776
023060,40.74985,-73.98771
023118,40.74972,-73.98782
037038,40.76048,-73.98377
037059,40.76048,-73.98376
038039,40.76165,-73.98656
038054,40.76166,-73.98657
039049,40.76287,-73.98943
039085,40.76286,-73.98941
040041,40.75325,-73.96664
040046,40.75325,-73.96663
042004,40.74988,-73.97215
042048,40.74974,-73.97226
042103,40.74978,-73.9722
044020,40.73882,-73.98314
044047,40.73889,-73.98309
044105,40.73872,-73.9832
045102,40.73685,-73.97857
045105,40.73703,-73.97842
046005,40.75425,-73.96898
046042,40.75425,-73.96898
047023,40.74289,-73.9928
047044,40.74282,-73.99286
047106,40.74304,-73.9927
048040,40.7488,-73.96984
048042,40.74889,-73.96977
049053,40.75835,-73.99269
049109,40.75858,-73.99253
049119,40.75842,-73.99264
050057,40.74529,-73.99849
050082,40.74538,-73.99842
050106,40.74519,-73.99857
052054,40.7664,-73.98187
052056,40.76622,-73.98192
053038,40.75723,-73.9898
053049,40.75729,-73.98971
053059,40.75715,-73.98984
054052,40.76664,-73.98293
054058,40.76679,-73.98282
055006,40.75938,-73.96524
055046,40.75931,-73.9653
056019,40.76545,-73.9801
056037,40.76553,-73.98005
056052,40.7656,-73.97999
057053,40.75219,-73.99346
057060,40.75212,-73.99351
057061,40.75225,-73.99342
058039,40.76792,-73.98572
058054,40.76783,-73.98578
058077,40.76799,-73.98565
059017,40.75596,-73.98699
059053,40.7561,-73.9869
059060,40.75603,-73.98694
060023,40.75093,-73.99068
060057,40.75106,-73.99059
060106,40.75098,-73.99063
061057,40.75331,-73.99636
061078,40.75346,-73.99625
061082,40.75339,-73.99631
075079,40.7421,-74.00822
076045,40.73132,-73.98256
077058,40.76904,-73.98861
077081,40.76918,-73.98851
078061,40.7545,-73.99921
078108,40.75474,-73.99905
078109,40.75457,-73.99916
079078,40.74768,-74.00418
079082,40.74763,-74.00421
079104,40.74782,-74.00407
080108,40.76084,-73.99833
080109,40.76071,-73.99842
082050,40.74645,-74.00139
082079,40.74659,-74.00129
082110,40.74649,-74.00138
085077,40.76405,-73.99225
085116,40.76406,-73.99225
102103,40.74388,-73.97344
103020,40.74483,-73.97584
103102,40.7447,-73.97592
103105,40.74475,-73.97589
104079,40.74875,-74.00705
105044,40.73802,-73.98082
105045,40.73779,-73.98098
106047,40.744,-73.99574
106050,40.7442,-73.99559
106107,40.74408,-73.99567
108078,40.75566,-74.00206
108104,40.75572,-74.00198
109049,40.7595,-73.99558
109080,40.75977,-73.9954
109085,40.75963,-73.99549
116080,40.76525,-73.99511
118008,40.74836,-73.98459
118023,40.74849,-73.98451
119061,40.7553,-73.99491
076083,40.73139,-73.98254
083107,40.73488,-73.99076
107083,40.73854,-73.99978
083076,40.73473,-73.99071
075107,40.74213,-74.0083
107075,40.73861,-73.99968
055203,40.75926,-73.96529
